ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,Martin Luther King Jr. Day,Martin Luther King Jr. Day_lower,Martin Luther King Jr. Day_upper,Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Sunday,Sunday_lower,Sunday_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-09-20,22.63409048194689,-4.1541331104639045,25.7530349565101,22.63409048194689,22.63409048194689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.218106178566954,-11.218106178566954,-11.218106178566954,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,5.995660278174198,5.995660278174198,5.995660278174198,-7.39480932020415,-7.39480932020415,-7.39480932020415,0.0,0.0,0.0,11.415984303379938
2018-09-21,22.632676888140036,-12.53465366907869,18.157372461792335,22.632676888140036,22.632676888140036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.81121836664113,-18.81121836664113,-18.81121836664113,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.2077985879806508,-2.2077985879806508,-2.2077985879806508,-6.7844626421234695,-6.7844626421234695,-6.7844626421234695,0.0,0.0,0.0,3.821458521498908
2018-09-22,22.63126329433318,-14.715746770314837,14.814925275123802,22.63126329433318,22.63126329433318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.467693762014633,-22.467693762014633,-22.467693762014633,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-6.565658711289087,-6.565658711289087,-6.565658711289087,-6.08307791418854,-6.08307791418854,-6.08307791418854,0.0,0.0,0.0,0.16356953231854732
2018-09-23,22.62984970052632,-7.425279837100397,24.079063643570716,22.62984970052632,22.62984970052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.897847597928154,-13.897847597928154,-13.897847597928154,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.2273696426167924,1.2273696426167924,1.2273696426167924,-5.306260104007942,-5.306260104007942,-5.306260104007942,0.0,0.0,0.0,8.732002102598168
2018-09-24,22.628436106719462,-2.5031013386553185,28.13926188981493,22.628436106719462,22.628436106719462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.91417904931066,-10.91417904931066,-10.91417904931066,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,3.376182121034446,3.376182121034446,3.376182121034446,-4.471404033808105,-4.471404033808105,-4.471404033808105,0.0,0.0,0.0,11.714257057408803
2018-09-25,22.627022512912603,-4.6823189630519435,25.817450335956043,22.627022512912603,22.627022512912603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.416101900106908,-12.416101900106908,-12.416101900106908,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,1.0001044295900514,1.0001044295900514,1.0001044295900514,-3.5972491931599557,-3.5972491931599557,-3.5972491931599557,0.0,0.0,0.0,10.210920612805696
2018-09-26,22.62560891910575,-7.5076801188238536,21.787259326352128,22.62560891910575,22.62560891910575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.348215861078828,-15.348215861078828,-15.348215861078828,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.825859172131547,-2.825859172131547,-2.825859172131547,-2.7033995524102776,-2.7033995524102776,-2.7033995524102776,0.0,0.0,0.0,7.277393058026924
2018-09-27,22.624195325298892,1.5217415416201523,31.30169531907674,22.624195325298892,22.624195325298892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.633117686920463,-5.633117686920463,-5.633117686920463,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,5.995660278181386,5.995660278181386,5.995660278181386,-1.809820828564848,-1.809820828564848,-1.809820828564848,0.0,0.0,0.0,16.991077638378428
2018-09-28,22.622781731492033,-5.208397232805349,26.301760748017916,22.622781731492033,22.622781731492033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.963083966121086,-12.963083966121086,-12.963083966121086,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-2.2077985879714666,-2.2077985879714666,-2.2077985879714666,-0.936328241612617,-0.936328241612617,-0.936328241612617,0.0,0.0,0.0,9.659697765370947
2018-09-29,22.621368137685174,-8.290691984960787,20.674168659350432,22.621368137685174,22.621368137685174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.486693888444194,-16.486693888444194,-16.486693888444194,-9.818957136537001,-9.818957136537001,-9.818957136537001,0.0,0.0,0.0,-6.565658711278999,-6.565658711278999,-6.565658711278999,-0.10207804062818793,-0.10207804062818793,-0.10207804062818793,0.0,0.0,0.0,6.13467424924098
